epoch 0, I/O 0
epoch 347, I/O 72351744
epoch 348, I/O 89620480
epoch 349, I/O 72556544
epoch 350, I/O 89878528
epoch 351, I/O 87830528
epoch 352, I/O 89153536
epoch 353, I/O 90046464
epoch 354, I/O 53669888
epoch 355, I/O 86597632
epoch 356, I/O 88264704
epoch 357, I/O 71245824
epoch 358, I/O 70287360
epoch 359, I/O 101187584
epoch 360, I/O 80564224
epoch 361, I/O 73289728
epoch 362, I/O 74502144
epoch 363, I/O 88268800
epoch 364, I/O 90595328
epoch 365, I/O 90488832
epoch 366, I/O 80101376
epoch 367, I/O 97435648
epoch 368, I/O 84676608
epoch 369, I/O 84082688
epoch 370, I/O 84054016
epoch 371, I/O 96886784
epoch 372, I/O 77897728
epoch 373, I/O 78254080
epoch 374, I/O 79245312
epoch 375, I/O 98205696
epoch 376, I/O 85356544
epoch 377, I/O 84074496
epoch 378, I/O 84291584
epoch 379, I/O 100499456
epoch 380, I/O 84926464
epoch 381, I/O 83755008
epoch 382, I/O 82505728
epoch 383, I/O 93999104
epoch 384, I/O 84590592
epoch 385, I/O 81223680
epoch 386, I/O 83050496
epoch 387, I/O 97296384
epoch 388, I/O 84250624
epoch 389, I/O 82620416
epoch 390, I/O 79859712
epoch 391, I/O 95154176
epoch 392, I/O 83357696
epoch 393, I/O 80687104
epoch 394, I/O 81870848
epoch 395, I/O 90857472
epoch 396, I/O 83939328
epoch 397, I/O 86081536
epoch 398, I/O 84230144
epoch 399, I/O 99205120
epoch 400, I/O 84713472
epoch 401, I/O 84631552
epoch 402, I/O 84066304
epoch 403, I/O 96436224
epoch 404, I/O 81625088
epoch 405, I/O 83116032
epoch 406, I/O 83247104
epoch 407, I/O 95805440
epoch 408, I/O 84054016
epoch 409, I/O 83832832
epoch 410, I/O 84811776
epoch 411, I/O 98148352
epoch 412, I/O 85065728
epoch 413, I/O 81522688
epoch 414, I/O 85196800
epoch 415, I/O 99622912
epoch 416, I/O 84881408
epoch 417, I/O 75808768
epoch 418, I/O 59764736
