epoch 0, I/O 0
epoch 442, I/O 38154240
epoch 443, I/O 43003904
epoch 444, I/O 37773312
epoch 445, I/O 51769344
epoch 446, I/O 33529856
epoch 447, I/O 54235136
epoch 448, I/O 39989248
epoch 449, I/O 37679104
epoch 450, I/O 46993408
epoch 451, I/O 49139712
epoch 452, I/O 51986432
epoch 453, I/O 61956096
epoch 454, I/O 59482112
epoch 455, I/O 57999360
epoch 456, I/O 33800192
epoch 457, I/O 27631616
epoch 458, I/O 89255936
epoch 459, I/O 29315072
epoch 460, I/O 31105024
epoch 461, I/O 72663040
epoch 462, I/O 47271936
epoch 463, I/O 60059648
epoch 464, I/O 49762304
epoch 465, I/O 39432192
epoch 466, I/O 16183296
epoch 467, I/O 75616256
epoch 468, I/O 51757056
epoch 469, I/O 72179712
epoch 470, I/O 24801280
epoch 471, I/O 25579520
epoch 472, I/O 22069248
epoch 473, I/O 79527936
epoch 474, I/O 40349696
epoch 475, I/O 37113856
epoch 476, I/O 43593728
epoch 477, I/O 65499136
epoch 478, I/O 49491968
epoch 479, I/O 49401856
epoch 480, I/O 35799040
epoch 481, I/O 42541056
epoch 482, I/O 57950208
epoch 483, I/O 57896960
epoch 484, I/O 39735296
epoch 485, I/O 33636352
epoch 486, I/O 36900864
epoch 487, I/O 32686080
epoch 488, I/O 72245248
epoch 489, I/O 46694400
epoch 490, I/O 69128192
epoch 491, I/O 57995264
epoch 492, I/O 86659072
epoch 493, I/O 42242048
epoch 494, I/O 58126336
epoch 495, I/O 39710720
epoch 496, I/O 55721984
epoch 497, I/O 43786240
epoch 498, I/O 40181760
epoch 499, I/O 57655296
epoch 500, I/O 26984448
epoch 501, I/O 48611328
epoch 502, I/O 30666752
epoch 503, I/O 36470784
epoch 504, I/O 45608960
epoch 505, I/O 51621888
epoch 506, I/O 30855168
epoch 507, I/O 55947264
epoch 508, I/O 34885632
epoch 509, I/O 52154368
epoch 510, I/O 75186176
epoch 511, I/O 72667136
epoch 512, I/O 44142592
epoch 513, I/O 31854592
epoch 514, I/O 47054848
epoch 515, I/O 49233920
epoch 516, I/O 113262592
epoch 517, I/O 70725632
epoch 518, I/O 44089344
epoch 519, I/O 69443584
epoch 520, I/O 39329792
epoch 521, I/O 42303488
epoch 522, I/O 26607616
epoch 523, I/O 47771648
epoch 524, I/O 50794496
epoch 525, I/O 61063168
epoch 526, I/O 35561472
epoch 527, I/O 108666880
epoch 528, I/O 53374976
epoch 529, I/O 22347776
epoch 530, I/O 49033216
epoch 531, I/O 26554368
epoch 532, I/O 85925888
epoch 533, I/O 55238656
epoch 534, I/O 42459136
epoch 535, I/O 50143232
epoch 536, I/O 56270848
epoch 537, I/O 45088768
epoch 538, I/O 25452544
epoch 539, I/O 56991744
epoch 540, I/O 59539456
epoch 541, I/O 32428032
epoch 542, I/O 47144960
epoch 543, I/O 58351616
epoch 544, I/O 52760576
epoch 545, I/O 27570176
epoch 546, I/O 58044416
epoch 547, I/O 42479616
epoch 548, I/O 58490880
epoch 549, I/O 48414720
epoch 550, I/O 38744064
epoch 551, I/O 45404160
epoch 552, I/O 38354944
epoch 553, I/O 35237888
epoch 554, I/O 78143488
epoch 555, I/O 45064192
epoch 556, I/O 54779904
epoch 557, I/O 55685120
epoch 558, I/O 50524160
epoch 559, I/O 58093568
epoch 560, I/O 65748992
epoch 561, I/O 73166848
epoch 562, I/O 41762816
epoch 563, I/O 35725312
epoch 564, I/O 85561344
epoch 565, I/O 41893888
epoch 566, I/O 71364608
epoch 567, I/O 37568512
epoch 568, I/O 58642432
epoch 569, I/O 64585728
epoch 570, I/O 53612544
epoch 571, I/O 56045568
epoch 572, I/O 43814912
